Total Designs Scored, Generation #, Lineage 1 Score, Lineage 2 Score, Lineage 3 Score, Lineage 4 Score, Lineage 5 Score, Lineage 6 Score, Lineage 7 Score, Lineage 8 Score,
0, gen0, 62200, 62200, 62200, 62200, 62200, 62200, 62200, 62200
8, 1, 62200, 86800, 60600, 41800, 285600, 31800, 1041400, 59000, 
24, 2, 15600, 86800, 56400, 57600, 285600, 254200, 156400, 37000, 
48, 3, 15600, 86800, 32600, 16000, 36600, 10800, 62000, 37000, 
64, 4, 10800, 86800, 32600, 16000, 17800, 10800, 36000, 34600, 
88, 5, 10800, 15200, 17000, 11400, 17800, 10800, 36000, 34600, 
104, 6, 10400, 15200, 17000, 11400, 17600, 10800, 36000, 10400, 
128, 7, 10400, 15200, 17000, 11400, 10400, 10800, 36000, 10400, 
144, 8, 10400, 11800, 63600, 9400, 10400, 32800, 280200, 10400, 
168, 9, 10400, 11800, 13600, 9400, 10400, 8200, 34400, 10400, 
184, 10, 10400, 11800, 13600, 9400, 10400, 8200, 38400, 10400, 
208, 11, 10400, 11800, 12400, 9400, 10400, 8200, 14400, 10400, 
224, 12, 10400, 11800, 10400, 7400, 10400, 8200, 12400, 10400, 
248, 13, 10400, 11800, 10400, 7400, 10400, 8200, 12400, 10400, 
264, 14, 10200, 11800, 8400, 7400, 10400, 8200, 12400, 10400, 
288, 15, 10200, 11800, 8200, 7400, 10400, 8200, 12400, 9800, 
304, 16, 10200, 11800, 8200, 7400, 10400, 8200, 12200, 9800, 
328, 17, 10200, 11800, 8200, 7400, 10400, 8200, 12200, 9800, 
344, 18, 10200, 11800, 8200, 7400, 10400, 8200, 12200, 9800, 
368, 19, 10200, 11800, 8200, 7400, 10400, 8200, 10200, 9800, 
384, 20, 10200, 11800, 8200, 7400, 10400, 8200, 10200, 9800, 
408, 21, 10200, 11800, 8200, 7400, 10400, 8200, 10200, 9800, 
424, 22, 8400, 41000, 8200, 7400, 10400, 8200, 10200, 9800, 
448, 23, 8400, 10400, 8200, 7400, 10400, 8200, 10200, 9800, 
464, 24, 8400, 10400, 8200, 7400, 10400, 8200, 7800, 9800, 
488, 25, 8400, 10400, 8200, 7400, 10400, 8200, 7800, 9800, 
504, 26, 8400, 10400, 8200, 7400, 10400, 8200, 7800, 7800, 
528, 27, 8400, 10400, 8200, 7400, 10400, 8200, 7800, 7800, 
544, 28, 8400, 10600, 8200, 7400, 12600, 8200, 7800, 7800, 
568, 29, 8400, 8400, 8200, 7400, 10200, 8200, 7800, 7800, 
584, 30, 8400, 8400, 8200, 7400, 10200, 8200, 7800, 7800, 
608, 31, 8400, 8400, 8200, 7400, 10200, 8200, 7800, 7800, 
624, 32, 8400, 8400, 11000, 7400, 10200, 8200, 7800, 7800, 
648, 33, 8400, 8400, 6400, 7400, 10200, 8200, 7800, 7800, 
664, 34, 8400, 8400, 6400, 7400, 10200, 8200, 7800, 7800, 
688, 35, 8400, 8400, 6400, 7400, 10200, 8200, 7800, 7800, 
704, 36, 8400, 8400, 6400, 7400, 10200, 8200, 7800, 7800, 
728, 37, 8400, 8400, 6400, 7400, 10200, 8200, 7800, 7800, 
744, 38, 8400, 8400, 6400, 7400, 12000, 8200, 7800, 7800, 
768, 39, 8400, 8400, 6400, 7400, 9800, 8200, 7800, 7800, 
784, 40, 8400, 8400, 6400, 7400, 7800, 6200, 7800, 7800, 
808, 41, 8400, 8400, 6400, 7400, 7800, 6200, 7800, 7800, 
824, 42, 6400, 8400, 6400, 7400, 7800, 6200, 7800, 6400, 
848, 43, 6400, 8400, 6400, 7400, 7800, 6200, 7800, 6400, 
864, 44, 6400, 8400, 6400, 7400, 7800, 6200, 10200, 6400, 
